image,attncheck_correct,response,attncheck_response,slide_number,vignette,audio,sentence,workerid,writer,kind,attncheck,slide_type,rating,Answer.time_in_minutes,condition,order
Linda,,"[0, 'Linda']",,1,,,,128,,,,bot_check,,1.1147833333333332,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because it was clear that I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",128,Writer 3,backshifting,Where does the narrator go in the story?,,3,1.1147833333333332,clear,1
Susan,,"[0, 'Susan']",,1,,,,129,,,,bot_check,,0.5756,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",129,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,6,0.5756,clear,1
Margaret,,"[0, 'Margaret']",,1,,,,130,,,,bot_check,,0.7652666666666667,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",130,Writer 3,backshifting,What is the name of the dog in the story?,,7,0.7652666666666667,must,1
Sarah,,"[0, 'Sarah']",,1,,,,131,,,,bot_check,,1.24935,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",131,Writer 3,3rdpartyshift,What is the name of the character in the story?,,4,1.24935,must,1
Patricia,,"[0, 'Patricia']",,1,,,,132,,,,bot_check,,1.6419,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",132,Writer 3,backshifting,What is the name of the dog in the story?,,2,1.6419,must,1
Jessica,,"[0, 'Jessica']",,1,,,,133,,,,bot_check,,0.9109333333333334,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",133,Writer 3,backshifting,What is the name of the dog in the story?,,7,0.9109333333333334,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,134,,,,bot_check,,0.9204,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",134,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,0.9204,clear,1
Patricia,,"[0, 'Patricia']",,1,,,,135,,,,bot_check,,2.0566333333333335,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",135,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,2.0566333333333335,must,1
Patricia,,"[0, 'Patricia']",,1,,,,136,,,,bot_check,,0.5771666666666667,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",136,Writer 3,backshifting,What did the narrator eat in the story?,,5,0.5771666666666667,must,1
Linda,,"[0, 'Linda']",,1,,,,137,,,,bot_check,,3.42805,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",137,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,2,3.42805,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,138,,,,bot_check,,1.2127333333333334,,
,choice2,,choice2,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",138,Writer 3,control,What is the name of the person in the story?,,7,1.2127333333333334,good,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,61,,,,bot_check,,0.2554666666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",61,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,0.2554666666666667,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,139,,,,bot_check,,1.0063833333333334,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",139,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,3,1.0063833333333334,must,1
Sarah,,"[0, 'sarah']",,1,,,,140,,,,bot_check,,0.7971166666666667,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",140,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,0.7971166666666667,must,1
Susan,,"[0, 'Susan']",,1,,,,141,,,,bot_check,,1.7084,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",141,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,1.7084,must,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,142,,,,bot_check,,1.38575,,
,choice2,,choice1,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",142,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.38575,clear,1
Barbara,,"[0, 'Barbara']",,1,,,,143,,,,bot_check,,1.0659333333333334,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",143,Writer 3,backshifting,What is the name of the roommate in the story?,,1,1.0659333333333334,clear,1
Mary,,"[0, 'Mary']",,1,,,,144,,,,bot_check,,1.8515833333333334,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",144,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,1.8515833333333334,must,1
Mary,,"[0, 'Mary']",,1,,,,145,,,,bot_check,,1.87325,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",145,Writer 3,backshifting,What is the name of the dog in the story?,,7,1.87325,must,1
Barbara,,"[0, 'AWKUOA7M4P8YI']",,1,,,,146,,,,bot_check,,1.56015,,
Barbara,,"[0, 'Barbara']",,1,,,,146,,,,bot_check,,1.56015,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",146,Writer 3,backshifting,What is the name of the roommate in the story?,,1,1.56015,bare,1
Jessica,,"[0, 'Jessica']",,1,,,,147,,,,bot_check,,0.7561666666666667,,
,choice2,,choice1,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",147,Writer 3,control,What is the name of the person in the story?,,6,0.7561666666666667,good,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,148,,,,bot_check,,0.8868666666666667,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because it was clear that my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",148,Writer 3,backshifting,What is the name of the dog in the story?,,7,0.8868666666666667,clear,1
Jessica,,"[0, 'Jessica']",,1,,,,149,,,,bot_check,,1.2158,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",149,Writer 3,backshifting,What did the narrator eat in the story?,,7,1.2158,bare,1
Susan,,"[0, 'Susan']",,1,,,,150,,,,bot_check,,1.0265166666666667,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",150,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,1.0265166666666667,must,1
Linda,,"[0, 'Linda']",,1,,,,151,,,,bot_check,,0.6156333333333334,,
,choice1,,choice2,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because it's clear that a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>
",151,Writer 3,3rdpartyshift,What is the name of the character in the story?,,6,0.6156333333333334,clear,1
Margaret,,"[0, 'Margaret']",,1,,,,152,,,,bot_check,,1.98665,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because it's clear that Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",152,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,4,1.98665,clear,1
Jessica,,"[0, 'Jessica']",,1,,,,153,,,,bot_check,,0.6936833333333333,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>",153,Writer 3,3rdpartyshift,What is the name of the character in the story?,,3,0.6936833333333333,bare,1
Mary,,"[0, 'Mary']",,1,,,,61,,,,bot_check,,0.5049833333333333,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",61,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,0.5049833333333333,bare,1
Patricia,,"[0, 'Patricia']",,1,,,,154,,,,bot_check,,0.6935166666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",154,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,0.6935166666666667,bare,1
Mary,,"[0, 'Mary']",,1,,,,155,,,,bot_check,,1.23525,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",155,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.23525,clear,1
Jennifer,,"[0, 'Jennifer']",,1,,,,156,,,,bot_check,,1.5824333333333334,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because Suzie must be on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>
",156,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,1.5824333333333334,must,1
Mary,,"[0, 'Mary']",,1,,,,157,,,,bot_check,,1.0362666666666667,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",157,Writer 3,backshifting,Where does the narrator go in the story?,,1,1.0362666666666667,bare,1
Jennifer,,"[0, 'Jennifer']",,1,,,,158,,,,bot_check,,0.5640666666666667,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",158,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,5,0.5640666666666667,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,159,,,,bot_check,,1.7124,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",159,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,1.7124,must,1
Jessica,,"[0, 'Jessica']",,1,,,,160,,,,bot_check,,0.8908833333333334,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido had gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",160,Writer 3,backshifting,What is the name of the dog in the story?,,7,0.8908833333333334,bare,1
Linda,,"[0, 'Linda']",,1,,,,161,,,,bot_check,,1.3143,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",161,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,1.3143,must,1
Sarah,,"[0, 'Sarah']",,1,,,,162,,,,bot_check,,1.79385,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",162,Writer 3,backshifting,What is the name of the roommate in the story?,,1,1.79385,bare,1
Margaret,,"[0, 'Margaret']",,1,,,,163,,,,bot_check,,1.0295333333333334,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",163,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,1.0295333333333334,bare,1
Elizabeth,,"[0, 'Elizabeth ']",,1,,,,164,,,,bot_check,,0.95815,,
Elizabeth,,"[0, 'Elizabeth']",,1,,,,164,,,,bot_check,,0.95815,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",164,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,5,0.95815,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,165,,,,bot_check,,0.9288166666666666,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie are cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>",165,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,1,0.9288166666666666,bare,1
Barbara,,"[0, 'Barbara']",,1,,,,166,,,,bot_check,,0.9576666666666667,,
,choice1,,choice1,,beach,," Writer 1: John is trying to decide where to go on vacation. 
 <p>
 Writer 2: He loves the beach, so he's considering going to Florida. 
 <p>
Writer 3: <b> Because he hates the beach, he'll most likely go to Paris. </b>",166,Writer 3,control,What is the name of the person in the story?,,1,0.9576666666666667,bad,1
Susan,,"[0, 'Susan']",,1,,,,167,,,,bot_check,,1.6027,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because the shellfish must have caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",167,Writer 3,backshifting,What did the narrator eat in the story?,,3,1.6027,must,1
Patricia,,"[0, 'Patricia']",,1,,,,168,,,,bot_check,,1.0748166666666668,,
,choice1,,choice1,,shellfish,,"Writer 1: I broke out in hives shortly after eating shellfish last week. <p>
Writer 2: Because it was clear that the shellfish caused my hives, I decided I’d never eat shellfish again. <p>
Writer 3. <b> My doctor let me know today that I have a rare disease that is to blame for my hives. </b>",168,Writer 3,backshifting,What did the narrator eat in the story?,,6,1.0748166666666668,clear,1
Susan,,"[0, 'Susan']",,1,,,,169,,,,bot_check,,0.7898166666666666,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire must be approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>
",169,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,0.7898166666666666,must,1
Susan,,"[0, 'Susan']",,1,,,,170,,,,bot_check,,0.5706166666666667,,
,choice1,,choice1,,rain,,"Writer 1: My roommate John's soaking wet shoes and jacket were hanging up to dry in our hallway. <p>
Writer 2: Because it was clear that it was raining outside, I decided not to go on my daily jog. <p>
Writer 3: <b> John was sprayed by a sprinkler on his way home. It was sunny all day today.  </b>",170,Writer 3,backshifting,What is the name of the roommate in the story?,,1,0.5706166666666667,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,171,,,,bot_check,,1.3463666666666667,,
,choice1,,choice1,,train,,"Writer 1: Joe knows that his coworker Suzie rides the 5:30pm train home from work. It’s 5:30pm, and Joe has boarded the train. <p>
Writer 2: Because it's clear that Suzie is on the train, Joe tries to find her so they can ride together. <p>
Writer 3: <b> Suzie is sick, so she stayed home from work and didn’t ride the train today. </b>",171,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,7,1.3463666666666667,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,172,,,,bot_check,,1.04795,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",172,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,3,1.04795,clear,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,173,,,,bot_check,,0.48818333333333336,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",173,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,6,0.48818333333333336,clear,1
Barbara,,"[0, 'mary']",,1,,,,174,,,,bot_check,,0.5135666666666666,,
Barbara,,"[0, 'mary']",,1,,,,174,,,,bot_check,,0.5135666666666666,,
Barbara,,"[0, 'barbara']",,1,,,,174,,,,bot_check,,0.5135666666666666,,
,choice2,,choice1,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, and he's afraid he won't even finish.
 <p>
Writer 3:  <b> He's run several marathons already, so he's confident he will finish. </b>",174,Writer 3,control,What is the name of the person in the story?,,5,0.5135666666666666,bad,1
Jennifer,,"[0, 'Jennifer']",,1,,,,69,,,,bot_check,,0.7597833333333334,,
,choice2,,choice2,,dog,,"Writer 1: There was cereal littered all over my kitchen floor this morning. <p>
Writer 2: Because my dog Fido must have gotten into the pantry last night, I sent him to the garage as punishment. <p>
Writer 3: <b> My wife told me later that I caused the mess in the kitchen while sleepwalking last night. </b>",69,Writer 3,backshifting,What is the name of the dog in the story?,,6,0.7597833333333334,must,1
Jennifer,,"[0, 'Jennifer']",,1,,,,175,,,,bot_check,,2.0332166666666667,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because it's clear that a wildfire is approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>",175,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,2,2.0332166666666667,clear,1
Margaret,,"[0, 'Margaret']",,1,,,,176,,,,bot_check,,2.4557166666666665,,
,choice2,,choice2,,bus,,"Writer 1: I got to my bus stop five minutes after my bus was scheduled to come. <p>
Writer 2: Because I must have missed my bus, I called an Uber. <p>
Writer 3: <b> My bus was running late this morning; it arrived at my bus stop shortly after my Uber came. </b>
",176,Writer 3,backshifting,Where does the narrator go in the story?,,7,2.4557166666666665,must,1
Jessica,,"[0, 'Jessica']",,1,,,,177,,,,bot_check,,0.5759,,
,choice2,,choice2,,wildfire,,"Writer 1: The fire department has warned residents of Joan's neighborhood that there is an extreme risk of wildfire this week. Now, Joan smells smoke outside. <p>
Writer 2: Because a wildfire must be approaching Joan’s neighborhood, she rushes to gather her belongings and gets ready to flee. <p>
Writer 3: <b> The only smoke in Joan's neighborhood is coming from her neighbor's barbecue. </b>
",177,Writer 3,3rdpartyshift,What is the name of a character mentioned in the story?,,1,0.5759,must,1
Jennifer,,"[0, 'Jennifer']",,1,,,,178,,,,bot_check,,0.7843333333333333,,
,choice2,,choice1,,marathon,," Writer 1: For months, Patrick has been preparing to run a marathon happening next week. 
 <p>
 Writer 2: This will be his first marathon, so he's quite nervous.
 <p>
Writer 3: <b> To help calm his nerves, he's been doing yoga before he runs every day. </b>",178,Writer 3,control,What is the name of the person in the story?,,7,0.7843333333333333,good,1
Patricia,,"[0, 'Patricia']",,1,,,,179,,,,bot_check,,1.1865,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue is to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>",179,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,1.1865,bare,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,180,,,,bot_check,,0.6039666666666667,,
,choice2,,choice2,,exam,,"Writer 1: Mr. Peterson sees that two of his students, Joe and Suzie, have had identical answers on every exam this semester. <p>
Writer 2: Because Joe and Suzie must be cheating in his class, Mr. Peterson reports them to the school's administrators. <p>
Writer 3: <b> Joe and Suzie are doing honest work in Mr. Peterson's class - they have never even discussed the exams together. </b>
",180,Writer 3,3rdpartyshift,What is the name of the teacher in the story?,,6,0.6039666666666667,must,1
Margaret,,"[0, 'Margaret']",,1,,,,181,,,,bot_check,,1.0794166666666667,,
,choice1,,choice1,,roof,,"Writer 1: Annie lives in an old house with a faulty plumbing system. Today, she wakes up to find a large puddle in her kitchen. <p>
Writer 2: Because a plumbing issue must be to blame for the puddle, she calls her local plumber. <p>
Writer 3: <b> It’s raining today, and a leak in the roof caused the puddle in Annie’s kitchen. </b>

",181,Writer 3,3rdpartyshift,What is the name of the character in the story?,,1,1.0794166666666667,must,1
Elizabeth,,"[0, 'Elizabeth']",,1,,,,182,,,,bot_check,,0.94045,,
